    代码     名字      当前价  市净率   市赢率  5日线    20日线  半年线       年线      2年前价  基金名                   持股比   持股量
0   002277   友阿股份   4.95  1.35    10.16   4.912   4.787   5.412667   5.98808  11.08  中央汇金资产管理有限责任公司  2.22    3151.26
1   300340   科恒股份  45.22  3.68    48.07  44.912  43.352  49.749167  52.70652  66.00  中央汇金资产管理有限责任公司  1.99     235.01
2   600006   东风汽车   4.63  1.37    18.11   4.616   4.560   5.330333   5.72004   8.08  中央汇金资产管理有限责任公司  2.74    5476.69
3   002709   天赐材料  43.83  5.32     9.15  43.422  42.862  45.178167  45.06560  63.40  中央汇金资产管理有限责任公司  1.27     431.48
4   002570  *ST因美   4.90  2.74   162.12   4.968   4.842   6.200583   9.41028  12.89  中央汇金资产管理有限责任公司  1.07    1092.60
5   601311   骆驼股份  12.40  1.93    20.64  12.472  12.308  12.777667  13.72060  18.78    中国证券金融股份有限公司  3.00    2546.62
6   600397  *ST安煤   2.62  3.22    47.18   2.616   2.607   3.273167   3.87452   4.16  中央汇金资产管理有限责任公司  2.07    2053.41
7   600773   西藏城投   9.69  2.49    95.62   9.758   9.557  10.591583  11.58404  15.27  中央汇金资产管理有限责任公司  1.47    1204.74
8   600058   五矿发展  10.56  1.50   125.11  10.550  10.468  11.218083  12.29888  19.08  中央汇金资产管理有限责任公司  2.22    2382.43
9   002420   毅昌股份   4.79  1.66   294.57   4.874   4.714   4.923500   6.12248   8.37  中央汇金资产管理有限责任公司  1.50     602.25
10  000061  农 产 品   6.64  2.38   933.52   6.712   6.660   7.229500   8.68180  11.91  中央汇金资产管理有限责任公司  1.11    1883.67
11  300260   新莱应材  16.01  4.83   144.89  16.118  16.074  13.613750  20.25748  28.27  中央汇金资产管理有限责任公司  1.66     336.12
12  600073   上海梅林   6.97  1.79     9.93   7.030   6.919   7.634667   8.58204  11.68  中央汇金资产管理有限责任公司  1.07    1003.73
13  601169   北京银行   6.89  0.89     6.29   6.868   6.819   7.221167   7.64992  10.38    中国证券金融股份有限公司  4.90  103599.95
14  601777   力帆股份   6.05  1.09    32.15   6.068   5.982   6.712417   7.47964   9.76    中国证券金融股份有限公司  1.72    2247.44
15  600983    惠而浦   5.75  1.16    19.85   5.964   5.792   6.775583   8.23136  11.63    中国证券金融股份有限公司  2.13    1630.86
16  000559   万向钱潮   8.24  4.34    23.25   8.338   8.317   9.231583   9.96436  14.65    中国证券金融股份有限公司  3.65   10057.51
17  300264   佳创视讯   7.15  5.56   106.12   7.274   6.971   7.123000   7.57632  12.13  中央汇金资产管理有限责任公司  1.74     720.23
18  600839   四川长虹   3.05  1.09    58.16   3.086   3.053   3.328417   3.47172   4.39    中国证券金融股份有限公司  2.81   12981.84
19  000166   申万宏源   4.92  1.62    27.80   4.912   4.804   5.196500   5.49108   8.04    中国证券金融股份有限公司  2.76   62230.65
20  300385   雪浪环境  22.47  2.65    36.02  22.878  21.881  23.817250  26.10768  32.34  中央汇金资产管理有限责任公司  1.01     131.01
21  600747   ST大控   2.05  1.56   127.57   2.144   2.074   2.402417   2.53676   4.13    中国证券金融股份有限公司  2.23    3271.63
22  600826   兰生股份  14.00  1.82    58.81  14.172  14.056  13.389417  15.55268  25.32  中央汇金资产管理有限责任公司  3.09    1298.77
23  000669   金鸿控股  11.03  1.28    15.59  11.044  10.940  12.636583  14.64296  16.33    中国证券金融股份有限公司  2.58    1253.71
24  600823   世茂股份   4.90  0.83    18.34   4.904   4.868   5.200583   5.25544   9.66    中国证券金融股份有限公司  1.64    6148.97
25  600088   中视传媒  14.01  4.10    46.94  13.806  13.562  13.322833  14.96324  22.04  中央汇金资产管理有限责任公司  2.48     821.84
26  002588    史丹利   6.66  1.82    25.77   6.680   6.620   6.943667   7.31320  11.63  中央汇金资产管理有限责任公司  1.34    1546.86
27  002030   达安基因  17.00  7.16   112.13  17.204  16.760  16.858167  18.50820  26.98  中央汇金资产管理有限责任公司  3.46    2511.73
28  300382    斯莱克  14.18  4.21    66.64  14.318  13.584  13.901500  20.53396  33.13  中央汇金资产管理有限责任公司  2.12     664.70
29  002673   西部证券   9.33  1.86    50.44   9.402   9.390  11.318750  13.09024  23.29  中央汇金资产管理有限责任公司  1.75    6117.80
30  000543   皖能电力   4.62  0.83    24.11   4.648   4.601   4.905750   5.28620   6.87    中国证券金融股份有限公司  2.99    5353.65
31  600704   物产中大   6.39  1.49     8.31   6.434   6.329   6.848417   7.47852  11.91    中国证券金融股份有限公司  3.08   13284.42
32  000012   南 玻Ａ   7.24  2.07    28.17   7.238   7.222   8.176833   8.49856  10.86  中央汇金资产管理有限责任公司  1.84    4578.30
33  002500   山西证券   8.20  1.84    65.64   8.204   8.059   8.684917   9.70016  15.02  中央汇金资产管理有限责任公司  1.44    4061.94
34  000876  新 希 望   7.15  1.39    12.41   7.146   7.145   7.611083   7.71756  16.81    中国证券金融股份有限公司  4.29   18073.87
35  601928   凤凰传媒   7.01  1.41    16.71   7.038   7.014   7.809750   8.67344  10.13    中国证券金融股份有限公司  4.87   12384.29
36  002344   海宁皮城   6.00  1.03    16.57   6.012   5.931   7.116917   8.26152   9.26  中央汇金资产管理有限责任公司  1.16    1492.62
37  601099    太平洋   2.84  1.64   921.39   2.860   2.825   3.328250   3.72336   5.98  中央汇金资产管理有限责任公司  1.87   12732.84
38  000686   东北证券   7.82  1.18    34.52   7.894   7.783   8.475917   9.35128  11.79    中国证券金融股份有限公司  2.51    5875.43
39  002026   山东威达   6.83  1.23    27.61   6.954   6.886   7.655583   8.58020  11.47  中央汇金资产管理有限责任公司  1.02     429.57
40  002646   青青稞酒  13.10  2.48    17.13  13.332  13.029  14.134083  15.95852  19.29  中央汇金资产管理有限责任公司  1.87     843.25
41  600458   时代新材   8.19  1.36    49.01   8.268   8.131   9.237500  10.35404  13.77  中央汇金资产管理有限责任公司  2.17    1743.44
42  600737   中粮糖业   7.91  2.18    11.72   7.924   7.585   7.825833   8.64424  11.51  中央汇金资产管理有限责任公司  3.78    7763.67
43  300305   裕兴股份   6.92  1.40    33.12   7.008   6.851   7.285333   8.05620  12.17  中央汇金资产管理有限责任公司  1.43     413.80
44  300210   森远股份   5.10  1.91    34.70   5.222   5.146   5.686917   7.97224  13.41  中央汇金资产管理有限责任公司  1.18     572.36
45  300088   长信科技   6.63  3.35    26.55   6.656   6.637   7.582333  11.25652  13.91  中央汇金资产管理有限责任公司  1.20    2766.96
46  002375   亚厦股份   6.51  1.16    26.48   6.574   6.491   7.240500   8.07944  10.78  中央汇金资产管理有限责任公司  1.12    1501.62
47  002243   通产丽星   7.11  1.74    51.82   7.170   6.962   7.532000   8.64504  11.55  中央汇金资产管理有限责任公司  1.20     439.69
48  300358   楚天科技  12.07  2.50    61.21  12.074  11.886  12.145417  13.46484  17.68  中央汇金资产管理有限责任公司  1.13     541.81
49  002533   金杯电工   5.62  1.37    30.76   5.680   5.670   6.230250   6.96592  12.30  中央汇金资产管理有限责任公司  1.99    1100.95
50  000750   国海证券   4.16  1.26    31.25   4.186   4.135   4.729667   5.24100   7.12    中国证券金融股份有限公司  2.35    9907.65
51  600705   中航资本   5.52  2.03    15.44   5.500   5.397   5.649000   5.80120  10.95    中国证券金融股份有限公司  4.90   43982.18
52  002705   新宝股份  10.05  2.16    47.18  10.076  10.035  11.571000  13.30092  15.33  中央汇金资产管理有限责任公司  1.26    1027.33
53  000919   金陵药业   8.40  1.63    22.74   8.540   8.332   8.602083   9.66608  12.39  中央汇金资产管理有限责任公司  2.75    1384.06
54  002615    哈尔斯   7.13  3.57    61.26   7.242   7.119   8.106333   9.63792  18.30  中央汇金资产管理有限责任公司  1.38     565.31
55  300283   温州宏丰   5.09  3.68    42.86   5.188   5.032   5.278583   6.21004   7.98  中央汇金资产管理有限责任公司  1.27     528.20
56  002033   丽江旅游   8.01  1.87    24.01   8.048   8.023   9.171167  10.47188  11.92  中央汇金资产管理有限责任公司  1.03     565.59
57  002189   利达光电  16.07  5.74   119.08  16.368  15.864  16.420667  19.48756  25.08  中央汇金资产管理有限责任公司  2.74     545.79
58  002149   西部材料   9.35  2.28  1024.12   9.600   9.521   9.412500  11.84828  29.12  中央汇金资产管理有限责任公司  1.87     795.12
59  300030   阳普医疗   8.09  2.67   183.16   8.284   8.073   8.379667  10.27444  13.36  中央汇金资产管理有限责任公司  3.12     962.08
60  300400   劲拓股份  14.99  6.98    45.22  15.186  15.148  14.189500  15.52228  29.05  中央汇金资产管理有限责任公司  1.47     357.76
61  600369   西南证券   4.49  1.30    23.98   4.486   4.333   4.656417   5.21472   7.55    中国证券金融股份有限公司  1.99   11233.78
62  002150   通润装备   7.77  1.92    43.54   7.930   7.862   8.667250  10.16724  14.20  中央汇金资产管理有限责任公司  1.31     359.33
63  002731   萃华珠宝  14.45  1.83    84.41  14.552  14.541  16.842417  19.54096  24.84  中央汇金资产管理有限责任公司  1.27     191.55
64  300321   同大股份  16.88  2.55  1321.47  17.124  16.755  20.089000  21.36436  30.31  中央汇金资产管理有限责任公司  1.83     162.50
65  002444   巨星科技  11.41  2.01    26.09  11.434  11.253  12.906833  14.15756  18.84  中央汇金资产管理有限责任公司  2.10    2255.71
66  300333   兆日科技  11.46  4.44   234.68  11.484  11.186   8.910917  10.38652  21.18  中央汇金资产管理有限责任公司  2.91     978.36
67  002551   尚荣医疗   7.94  2.43    25.61   8.004   7.848   8.523000  10.33332  20.72  中央汇金资产管理有限责任公司  1.10     777.55
68  300405   科隆股份  14.67  1.84   199.93  14.966  14.456  15.404083  19.12928  38.80  中央汇金资产管理有限责任公司  1.24     145.23
69  300033    同花顺  48.20  9.47    86.31  48.850  48.799  51.113333  55.15792  75.96  中央汇金资产管理有限责任公司  3.00    1611.29
70  300329   海伦钢琴   8.53  2.55    37.90   8.702   8.388   8.572583   9.80284  19.16  中央汇金资产管理有限责任公司  1.44     361.73
71  600587   新华医疗  15.39  1.91    55.50  15.820  15.531  15.517583  16.82476  22.13  中央汇金资产管理有限责任公司  4.64    1886.22
72  600157   永泰能源   2.28  1.17    14.18   2.356   2.261   3.371917   3.63256   3.90    中国证券金融股份有限公司  2.47   30637.80
73  002073   软控股份   7.24  1.49   105.12   7.422   7.358   7.936833   8.46736  10.42  中央汇金资产管理有限责任公司  3.90    3646.22
74  600468   百利电气   6.30  2.79    76.78   6.422   6.231   6.141167   9.29600  12.10    中国证券金融股份有限公司  1.69    1374.02
75  000973   佛塑科技   4.76  2.08    74.45   4.822   4.761   5.590333   6.62080   9.45  中央汇金资产管理有限责任公司  1.46    1415.76
